Date,AGG,IXC,IXG,IXJ,IXN,IXP,IYR
2003-09-29,102.16999816894533,16.66666603088379,51.84999847412109,21.524999618530277,46.25,39.5,45.42499923706055
2003-09-30,102.6999969482422,16.700000762939453,51.84999847412109,21.614999771118164,45.34999847412109,39.5,45.70500183105469
2003-10-01,102.6500015258789,16.91666603088379,52.70000076293945,21.75,46.20000076293945,40.060001373291016,46.025001525878906
2003-10-02,102.48999786376952,17.016666412353516,53.400001525878906,22.09000015258789,46.4900016784668,40.34999847412109,46.375
2003-10-03,101.75,17.149999618530273,53.79999923706055,22.23500061035156,47.84999847412109,40.95000076293945,46.869998931884766
2003-10-06,101.9000015258789,17.21666717529297,54.18999862670898,21.96999931335449,47.79999923706055,41.150001525878906,47.42499923706055
2003-10-07,101.5500030517578,17.299999237060547,54.150001525878906,21.854999542236328,48.34999847412109,41.0099983215332,47.20000076293945
2003-10-08,101.8000030517578,17.25,54.29999923706055,21.700000762939453,48.16999816894531,41.09000015258789,47.22999954223633
2003-10-09,101.44000244140624,17.266666412353516,54.29999923706055,21.940000534057617,48.09999847412109,41.20000076293945,47.29499816894531
2003-10-10,102.0,17.496665954589844,54.7400016784668,21.850000381469727,48.84000015258789,41.34000015258789,47.375
2003-10-13,101.5500030517578,17.66666603088379,55.45000076293945,22.030000686645508,49.20000076293945,41.34999847412109,47.54999923706055
2003-10-14,101.3499984741211,17.53333282470703,55.400001525878906,21.96500015258789,49.290000915527344,41.09999847412109,47.584999084472656
2003-10-15,101.0999984741211,17.350000381469727,55.650001525878906,21.739999771118164,49.650001525878906,40.790000915527344,47.47499847412109
2003-10-16,100.83000183105467,17.513334274291992,55.70000076293945,22.020000457763672,49.400001525878906,40.900001525878906,47.53499984741211
2003-10-17,101.30999755859376,17.41666603088379,55.20000076293945,21.90999984741211,49.0,40.650001525878906,47.11000061035156
2003-10-20,101.25,17.336666107177734,55.38999938964844,21.895000457763672,49.38999938964844,40.90999984741211,47.005001068115234
2003-10-21,101.4499969482422,17.336666107177734,55.459999084472656,22.05500030517578,49.75,40.86000061035156,47.04999923706055
2003-10-22,101.9000015258789,17.213333129882812,54.95000076293945,21.364999771118164,49.09999847412109,40.75,46.720001220703125
2003-10-23,101.6500015258789,17.08333396911621,54.70000076293945,21.739999771118164,47.650001525878906,40.54999923706055,46.25
2003-10-24,102.1500015258789,17.046667098999023,54.400001525878906,21.795000076293945,47.38999938964844,40.20000076293945,45.875
2003-10-27,101.9499969482422,17.013334274291992,54.97999954223633,21.94499969482422,47.40999984741211,40.970001220703125,46.415000915527344
2003-10-28,102.3499984741211,17.06333351135254,55.13999938964844,21.96999931335449,48.84000015258789,41.2400016784668,46.09999847412109
2003-10-29,101.9000015258789,17.079999923706055,55.63999938964844,21.940000534057617,49.38999938964844,41.400001525878906,46.560001373291016
2003-10-30,101.9000015258789,16.75,55.84000015258789,21.51000022888184,48.900001525878906,41.4900016784668,46.67499923706055
2003-10-31,101.73999786376952,16.996665954589844,55.7400016784668,21.790000915527344,49.09000015258789,41.2400016784668,46.5
2003-11-03,101.1999969482422,16.96666717529297,56.09000015258789,21.76000022888184,50.040000915527344,41.290000915527344,47.13999938964844
2003-11-04,101.4000015258789,16.90333366394043,55.7599983215332,21.6200008392334,49.9900016784668,41.18999862670898,47.275001525878906
2003-11-05,101.4000015258789,16.863332748413086,55.63999938964844,21.649999618530277,49.400001525878906,41.18999862670898,47.20000076293945
2003-11-06,100.8499984741211,16.8799991607666,55.43999862670898,21.540000915527344,50.38999938964844,40.25,47.54999923706055
2003-11-07,100.9000015258789,16.933332443237305,55.79999923706055,21.649999618530277,50.84000015258789,40.61000061035156,47.76499938964844
2003-11-10,101.08999633789062,17.013334274291992,55.540000915527344,21.290000915527344,49.7400016784668,40.61000061035156,47.665000915527344
2003-11-11,100.91000366210938,16.953332901000977,55.540000915527344,21.34000015258789,49.34999847412109,40.59000015258789,47.375
2003-11-12,101.0999984741211,17.079999923706055,55.65999984741211,21.90999984741211,50.119998931884766,41.2599983215332,48.09000015258789
2003-11-13,101.83999633789062,17.213333129882812,56.13999938964844,22.325000762939453,50.09000015258789,41.63999938964844,48.19499969482422
2003-11-14,101.91999816894533,17.246665954589844,55.310001373291016,22.915000915527344,49.43999862670898,41.540000915527344,48.45000076293945
