Date,AGG,IXC,IXG,IXJ,IXN,IXP,IYR,JXI,KXI,MXI,RXI
2006-09-22,100.05999755859376,32.983333587646484,82.93000030517578,28.36000061035156,53.52999877929688,56.58000183105469,77.5999984741211,50.27999877929688,25.350000381469727,48.7400016784668,51.470001220703125
2006-09-25,100.26000213623048,33.01333236694336,83.8499984741211,28.399999618530277,54.47999954223633,56.959999084472656,77.55000305175781,50.630001068115234,25.399999618530277,48.70000076293945,51.470001220703125
2006-09-26,100.25,33.47666549682617,84.0,28.5049991607666,54.869998931884766,57.27999877929688,76.8499984741211,50.84999847412109,25.45499992370605,49.22999954223633,52.5099983215332
2006-09-27,100.20999908447266,34.12666702270508,83.9000015258789,28.584999084472656,54.68000030517578,57.04999923706055,77.5199966430664,51.720001220703125,25.4950008392334,49.970001220703125,52.52000045776367
2006-09-28,100.23999786376952,34.233333587646484,84.26000213623047,28.55500030517578,54.90999984741211,57.16999816894531,77.25,51.720001220703125,25.479999542236328,50.27000045776367,52.52000045776367
2006-09-29,100.16000366210938,34.20333480834961,84.25,28.565000534057617,55.15999984741211,57.70000076293945,77.1500015258789,51.27999877929688,25.34000015258789,50.119998931884766,52.630001068115234
2006-10-02,99.83999633789062,33.93000030517578,83.77999877929688,28.549999237060547,54.86000061035156,57.43999862670898,77.12999725341797,51.61000061035156,25.2450008392334,50.2599983215332,52.540000915527344
2006-10-03,99.81999969482422,32.79999923706055,84.69999694824219,28.6299991607666,54.720001220703125,57.70000076293945,77.87999725341797,51.79999923706055,25.334999084472656,49.5,52.560001373291016
2006-10-04,100.20999908447266,33.25666809082031,85.52999877929688,28.7549991607666,55.58000183105469,58.560001373291016,78.75,52.04999923706055,25.614999771118164,49.68000030517578,52.560001373291016
2006-10-05,99.9000015258789,33.599998474121094,85.94999694824219,28.780000686645508,55.77999877929688,58.33000183105469,79.2300033569336,51.88999938964844,25.55500030517578,50.34000015258789,52.560001373291016
2006-10-06,99.52999877929688,33.61333465576172,85.4000015258789,28.5,55.540000915527344,58.060001373291016,78.6500015258789,51.470001220703125,25.34000015258789,50.02999877929688,53.369998931884766
2006-10-09,99.73999786376952,33.33333206176758,85.62999725341797,28.55500030517578,55.56999969482422,57.83000183105469,79.18000030517578,51.45000076293945,25.315000534057617,50.36000061035156,53.4900016784668
2006-10-10,99.3499984741211,33.7066650390625,85.88999938964844,28.434999465942383,55.65999984741211,58.06999969482422,79.20999908447266,51.45000076293945,25.23500061035156,50.58000183105469,53.619998931884766
2006-10-11,99.23999786376952,33.33000183105469,85.44999694824219,28.48500061035156,55.7400016784668,58.27999877929688,79.0,51.5,25.25,50.470001220703125,53.709999084472656
2006-10-12,99.33999633789062,33.86666488647461,86.16000366210938,28.600000381469727,56.400001525878906,59.0099983215332,79.75,51.84000015258789,25.34499931335449,50.95000076293945,54.060001373291016
