Date,AGG,EXI,IAGG,IFGL,IXC,IXG,IXJ,IXN,IXP,IYR,JXI,KXI,MXI,RXI
2015-11-12,108.33999633789062,68.88999938964844,50.25,27.920000076293945,30.6299991607666,54.119998931884766,50.76499938964844,99.13999938964844,59.209999084472656,73.20999908447266,44.2400016784668,45.96500015258789,46.959999084472656,91.05999755859376
2015-11-13,108.5500030517578,68.55999755859375,50.25,27.75,30.40999984741211,53.63999938964844,50.58000183105469,97.23999786376952,58.5,72.44000244140625,43.97999954223633,45.53499984741211,47.02999877929688,89.04000091552734
2015-11-16,108.63999938964844,69.31999969482422,50.09999847412109,28.09000015258789,31.3799991607666,54.2400016784668,51.150001525878906,98.5199966430664,59.58000183105469,73.29000091552734,44.54999923706055,46.2599983215332,47.59999847412109,90.06999969482422
2015-11-17,108.72000122070312,69.37000274658203,50.130001068115234,28.18000030517578,31.13999938964844,54.20000076293945,51.3650016784668,98.55999755859376,59.84000015258789,73.33000183105469,44.25,46.21500015258789,47.52999877929688,90.3499984741211
2015-11-18,108.63999938964844,70.12999725341797,50.130001068115234,28.3700008392334,31.649999618530277,55.02000045776367,52.27000045776367,100.0999984741211,60.20000076293945,74.11000061035156,44.61000061035156,46.720001220703125,48.04999923706055,91.51000213623048
2015-11-19,108.69000244140624,70.54000091552734,50.34000015258789,28.549999237060547,31.46999931335449,55.2599983215332,51.79499816894531,100.44000244140624,60.400001525878906,74.31999969482422,44.88999938964844,47.005001068115234,48.38999938964844,91.62999725341795
2015-11-20,108.62000274658205,70.58999633789062,50.36000061035156,28.729999542236328,31.049999237060547,55.18999862670898,52.09999847412109,101.2300033569336,60.290000915527344,75.08000183105469,44.959999084472656,46.720001220703125,48.15999984741211,92.31999969482422
2015-11-23,108.6500015258789,70.18000030517578,50.36000061035156,28.479999542236328,31.11000061035156,54.900001525878906,51.790000915527344,100.77999877929688,59.84000015258789,75.20999908447266,44.54999923706055,46.8849983215332,47.90999984741211,92.31999969482422
2015-11-24,108.75,70.18000030517578,50.41999816894531,28.43000030517578,31.700000762939453,54.790000915527344,51.915000915527344,100.69000244140624,59.720001220703125,74.83999633789062,44.38999938964844,46.94499969482422,48.18999862670898,92.06999969482422
2015-11-25,108.8000030517578,70.31999969482422,50.5,28.459999084472656,31.530000686645508,54.77000045776367,52.1349983215332,100.5,59.70000076293945,75.08999633789062,44.380001068115234,47.084999084472656,48.02999877929688,92.5199966430664
2015-11-27,108.7699966430664,70.37999725341797,50.47999954223633,28.32999992370605,31.309999465942383,54.790000915527344,52.19499969482422,100.54000091552734,59.90999984741211,75.69000244140625,44.41999816894531,47.08000183105469,47.77999877929688,92.44000244140624
2015-11-30,108.80999755859376,70.19999694824219,50.4900016784668,28.229999542236328,31.38999938964844,54.63999938964844,51.76499938964844,100.6999969482422,59.81999969482422,75.20999908447266,44.29999923706055,46.7599983215332,47.7599983215332,92.13999938964844
2015-12-01,108.81999969482422,70.5999984741211,50.41999816894531,28.76000022888184,31.68000030517578,55.4900016784668,52.54499816894531,101.83000183105467,60.11000061035156,76.13999938964844,44.81999969482422,47.03499984741211,48.060001373291016,93.12999725341795
2015-12-02,108.69000244140624,69.94999694824219,50.560001373291016,28.36000061035156,30.8700008392334,54.75,52.04499816894531,101.0,59.52000045776367,74.69999694824219,43.97999954223633,46.79499816894531,47.27000045776367,92.05999755859376
2015-12-03,107.88999938964844,69.19999694824219,50.18000030517578,28.25,30.3700008392334,54.2599983215332,51.1349983215332,99.91999816894533,59.08000183105469,73.5999984741211,43.88999938964844,46.58000183105469,46.93000030517578,91.08000183105467
2015-12-04,108.23999786376952,69.93000030517578,50.03499984741211,28.46999931335449,30.200000762939453,55.209999084472656,52.040000915527344,102.0,59.7400016784668,74.83000183105469,44.380001068115234,47.21500015258789,47.540000915527344,92.51000213623048
2015-12-07,108.4000015258789,69.63999938964844,50.119998931884766,28.34000015258789,28.989999771118164,54.619998931884766,51.83000183105469,101.31999969482422,59.61000061035156,74.62999725341797,44.27999877929688,47.34999847412109,46.720001220703125,92.02999877929688
2015-12-08,108.44000244140624,68.52999877929688,50.119998931884766,28.15999984741211,28.59000015258789,53.869998931884766,51.82500076293945,100.93000030517578,58.91999816894531,74.44999694824219,43.88999938964844,47.03499984741211,45.650001525878906,91.37000274658205
2015-12-09,108.44000244140624,68.25,50.34000015258789,28.059999465942383,29.040000915527344,53.459999084472656,51.255001068115234,99.58999633789062,58.560001373291016,73.98999786376953,44.040000915527344,46.56499862670898,46.27000045776367,90.44000244140624
2015-12-10,108.41999816894533,68.45999908447266,50.150001525878906,27.979999542236328,29.15999984741211,53.369998931884766,51.650001525878906,99.81999969482422,58.52999877929688,73.56999969482422,43.68999862670898,46.57500076293945,46.220001220703125,90.6500015258789
2015-12-11,108.69000244140624,67.52999877929688,50.369998931884766,27.530000686645508,28.11000061035156,52.16999816894531,50.90499877929688,97.79000091552734,57.59000015258789,73.2300033569336,43.34000015258789,46.03499984741211,45.119998931884766,88.62999725341797
2015-12-14,108.18000030517578,67.58000183105469,50.2400016784668,27.649999618530277,28.200000762939453,52.25,51.09000015258789,98.36000061035156,57.84999847412109,73.45999908447266,43.41999816894531,46.34999847412109,44.70000076293945,88.9800033569336
2015-12-15,108.19000244140624,67.51000213623047,50.2400016784668,27.690000534057617,28.86000061035156,53.040000915527344,51.775001525878906,98.8499984741211,58.45000076293945,74.2699966430664,43.68999862670898,46.56499862670898,44.90999984741211,89.47000122070312
2015-12-16,108.0,68.79000091552734,50.11000061035156,28.21999931335449,28.940000534057617,54.11000061035156,52.54499816894531,100.1999969482422,59.52999877929688,75.7300033569336,44.58000183105469,47.494998931884766,45.72999954223633,91.2699966430664
2015-12-17,108.1500015258789,67.83000183105469,50.11000061035156,27.920000076293945,28.15999984741211,53.33000183105469,52.02000045776367,98.70999908447266,58.90999984741211,75.36000061035156,44.43999862670898,46.83000183105469,44.7599983215332,90.02999877929688
2015-12-18,108.37999725341795,66.81999969482422,50.345001220703125,27.940000534057617,27.84000015258789,52.63999938964844,51.42499923706055,96.81999969482422,58.18000030517578,74.4000015258789,43.970001220703125,46.10499954223633,44.400001525878906,88.69000244140625
2015-12-21,108.27999877929688,66.63999938964844,50.3390007019043,27.76000022888184,27.309999465942383,52.2400016784668,50.83000183105469,97.22000122070312,57.22999954223633,74.77999877929688,43.34999847412109,45.95000076293945,44.13999938964844,88.7300033569336
2015-12-22,108.1999969482422,67.5,50.3390007019043,27.940000534057617,27.690000534057617,52.59999847412109,51.06499862670898,97.86000061035156,57.63999938964844,75.08999633789062,43.619998931884766,46.334999084472656,44.68999862670898,89.29000091552734
2015-12-23,108.18000030517578,68.43000030517578,50.1349983215332,28.21999931335449,28.93000030517578,53.43000030517578,51.790000915527344,98.70999908447266,58.4900016784668,75.94000244140625,44.400001525878906,46.935001373291016,45.880001068115234,90.0199966430664
2015-12-24,108.01000213623048,68.5,50.09000015258789,28.170000076293945,28.76000022888184,53.45000076293945,51.77000045776367,98.73999786376952,58.2599983215332,75.0,44.36000061035156,46.8650016784668,45.93999862670898,89.69000244140625
2015-12-28,108.01000213623048,68.16999816894531,50.16999816894531,28.06999969482422,28.290000915527344,53.18000030517578,51.619998931884766,98.5999984741211,58.18999862670898,75.22000122070312,44.400001525878906,46.90499877929688,45.459999084472656,89.69000244140625
2015-12-29,107.73999786376952,68.70999908447266,50.09999847412109,28.440000534057617,28.479999542236328,53.77999877929688,52.125,99.62999725341795,58.720001220703125,75.98999786376953,44.59999847412109,47.310001373291016,45.900001525878906,90.5999984741211
2015-12-30,107.72000122070312,68.22000122070312,50.06999969482422,28.25,28.040000915527344,53.209999084472656,51.88999938964844,98.83000183105467,58.18999862670898,75.6500015258789,44.56999969482422,47.06999969482422,45.38999938964844,90.05999755859375
2015-12-31,108.01000213623048,67.62000274658203,50.13999938964844,27.88999938964844,28.030000686645508,52.9900016784668,51.310001373291016,97.5199966430664,57.84999847412109,75.08000183105469,44.02000045776367,46.51499938964844,45.0099983215332,89.0199966430664
2016-01-04,107.97000122070312,66.5199966430664,50.22999954223633,27.57999992370605,27.93000030517578,51.709999084472656,50.41999816894531,95.80999755859376,57.08000183105469,74.3499984741211,43.63999938964844,45.82500076293945,44.25,87.11000061035156
2016-01-05,108.0199966430664,66.72000122070312,50.310001373291016,27.670000076293945,27.940000534057617,51.709999084472656,50.720001220703125,95.52999877929688,57.290000915527344,75.56999969482422,43.93999862670898,45.93999862670898,44.130001068115234,86.91000366210938
2016-01-06,108.43000030517578,65.54000091552734,50.305999755859375,27.34000015258789,26.96999931335449,50.72999954223633,50.21500015258789,94.04000091552734,56.84000015258789,75.31999969482422,43.72999954223633,45.53499984741211,42.970001220703125,85.66000366210938
2016-01-07,108.41999816894533,64.31999969482422,50.33000183105469,26.88999938964844,26.200000762939453,49.459999084472656,49.27999877929688,91.38999938964844,56.16999816894531,73.63999938964844,43.34000015258789,44.93999862670898,41.91999816894531,84.08999633789062
2016-01-08,108.66000366210938,63.36000061035156,50.31100082397461,26.46999931335449,25.8700008392334,48.54999923706055,48.52999877929688,90.62999725341795,55.959999084472656,72.7699966430664,43.16999816894531,44.58000183105469,41.66999816894531,83.05999755859375
2016-01-11,108.3499984741211,63.27000045776367,50.30899810791016,26.559999465942383,25.399999618530277,48.869998931884766,48.084999084472656,91.38999938964844,56.20000076293945,73.05999755859375,43.5,44.96500015258789,41.0,83.95999908447266
2016-01-12,108.58999633789062,63.91999816894531,50.369998931884766,26.63999938964844,25.399999618530277,49.18000030517578,48.57500076293945,92.16999816894533,56.34999847412109,72.55000305175781,43.34999847412109,45.290000915527344,40.9900016784668,84.61000061035156
2016-01-13,108.83999633789062,62.68000030517578,50.40800094604492,26.280000686645508,24.979999542236328,48.04999923706055,47.3849983215332,89.87999725341797,55.59000015258789,71.44999694824219,43.08000183105469,44.55500030517578,40.29999923706055,82.29000091552734
2016-01-14,108.8000030517578,63.7599983215332,50.65999984741211,26.61000061035156,26.09000015258789,48.56999969482422,48.3849983215332,91.48999786376952,56.29999923706055,71.3499984741211,43.70000076293945,44.790000915527344,40.91999816894531,82.80999755859375
2016-01-15,108.93000030517578,61.790000915527344,50.7599983215332,25.82999992370605,25.15999984741211,46.84999847412109,47.470001220703125,88.44999694824219,55.04999923706055,70.54000091552734,42.91999816894531,43.900001525878906,39.79999923706055,80.8499984741211
2016-01-19,108.81999969482422,62.20000076293945,50.7599983215332,25.88999938964844,24.770000457763672,46.880001068115234,47.68999862670898,88.98999786376953,55.5,70.75,43.40999984741211,44.45500183105469,39.5099983215332,81.5
2016-01-20,108.91000366210938,61.18000030517578,50.60499954223633,25.32999992370605,24.01000022888184,45.810001373291016,47.57500076293945,88.19999694824219,54.36000061035156,68.87000274658203,42.56999969482422,43.900001525878906,39.0099983215332,80.19999694824219
2016-01-21,108.76000213623048,61.400001525878906,50.77999877929688,25.350000381469727,24.799999237060547,45.869998931884766,47.52000045776367,88.54000091552734,55.38999938964844,69.33000183105469,42.56999969482422,44.1349983215332,39.45000076293945,81.08000183105469
2016-01-22,108.83999633789062,62.45000076293945,50.70000076293945,25.989999771118164,25.950000762939453,46.93000030517578,48.44499969482422,91.11000061035156,56.90999984741211,71.25,43.540000915527344,44.935001373291016,40.2599983215332,82.97000122070312
2016-01-25,108.77999877929688,61.630001068115234,50.709999084472656,25.690000534057617,24.920000076293945,45.7599983215332,48.165000915527344,89.81999969482422,56.25,70.55000305175781,43.060001373291016,44.685001373291016,39.33000183105469,81.7300033569336
2016-01-26,108.91999816894533,62.79999923706055,50.709999084472656,26.09000015258789,25.8799991607666,46.59000015258789,48.595001220703125,90.6999969482422,57.2400016784668,72.05999755859375,43.59000015258789,45.27999877929688,40.22999954223633,82.94000244140625
2016-01-27,108.94000244140624,62.45000076293945,50.810001373291016,25.90999984741211,25.799999237060547,46.27999877929688,48.0099983215332,88.73999786376953,57.66999816894531,70.94000244140625,43.68999862670898,45.17499923706055,39.86000061035156,82.05999755859375
2016-01-28,109.02999877929688,62.68999862670898,51.08000183105469,26.059999465942383,26.65999984741211,46.540000915527344,47.025001525878906,89.72000122070312,57.59999847412109,70.47000122070312,44.369998931884766,45.71500015258789,40.08000183105469,82.83999633789062
2016-01-29,109.3499984741211,64.18000030517578,51.060001373291016,26.8799991607666,27.26000022888184,47.63999938964844,47.63999938964844,92.4800033569336,58.810001373291016,72.0,45.0099983215332,46.68000030517578,40.83000183105469,83.97000122070312
2016-02-01,108.98999786376952,64.16000366210938,50.79999923706055,27.040000915527344,26.790000915527344,47.22999954223633,47.810001373291016,92.68000030517578,59.4900016784668,72.01000213623047,45.400001525878906,47.0,40.810001373291016,84.33000183105469
2016-02-02,109.31999969482422,62.72999954223633,50.77000045776367,26.530000686645508,25.709999084472656,45.7599983215332,47.17499923706055,90.88999938964844,58.380001068115234,71.25,45.2400016784668,46.40999984741211,39.91999816894531,82.62000274658203
2016-02-03,109.30999755859376,63.38999938964844,50.77999877929688,27.040000915527344,26.709999084472656,45.880001068115234,47.42499923706055,90.8000030517578,59.290000915527344,71.5999984741211,45.84000015258789,46.720001220703125,41.20000076293945,82.58999633789062
2016-02-04,109.41999816894533,64.25,50.93000030517578,26.920000076293945,27.040000915527344,46.40999984741211,46.97999954223633,91.0,59.22999954223633,71.68000030517578,45.70000076293945,46.18000030517578,42.29999923706055,82.23999786376953
2016-02-05,109.31999969482422,63.43000030517578,50.84999847412109,26.489999771118164,26.56999969482422,45.650001525878906,46.13999938964844,88.20999908447266,58.869998931884766,70.06999969482422,45.40999984741211,45.72999954223633,41.91999816894531,79.94999694824219
2016-02-08,109.73999786376952,62.72999954223633,51.02000045776367,26.100000381469727,26.459999084472656,44.43999862670898,45.36000061035156,86.86000061035156,58.18999862670898,68.01000213623047,45.13999938964844,45.63999938964844,41.27999877929688,78.37999725341797
2016-02-09,109.7300033569336,62.79999923706055,50.93000030517578,25.82999992370605,25.670000076293945,43.869998931884766,45.52999877929688,86.36000061035156,57.880001068115234,66.91000366210938,45.119998931884766,45.7400016784668,40.959999084472656,77.95999908447266
2016-02-10,110.0,62.54999923706055,50.880001068115234,25.959999084472656,25.540000915527344,43.93999862670898,45.845001220703125,86.55999755859375,57.59000015258789,67.26000213623047,44.93999862670898,45.60499954223633,40.88999938964844,77.9000015258789
2016-02-11,110.06999969482422,61.72999954223633,51.04999923706055,25.71999931335449,25.440000534057617,42.77999877929688,45.25,86.33000183105469,57.25,66.2699966430664,44.310001373291016,45.33000183105469,40.290000915527344,77.44999694824219
2016-02-12,109.7699966430664,62.33000183105469,50.720001220703125,26.020000457763672,26.229999542236328,44.22999954223633,45.84000015258789,87.22000122070312,57.619998931884766,67.12999725341797,44.290000915527344,45.72999954223633,41.220001220703125,78.63999938964844
2016-02-16,109.5,63.91999816894531,50.880001068115234,26.6200008392334,26.549999237060547,45.15999984741211,46.65499877929688,89.08999633789062,58.18999862670898,68.41999816894531,44.75,46.16999816894531,41.7599983215332,80.56999969482422
2016-02-17,109.44000244140624,64.9800033569336,50.93000030517578,26.90999984741211,27.31999969482422,45.959999084472656,47.150001525878906,91.0999984741211,59.040000915527344,69.04000091552734,44.77999877929688,46.650001525878906,42.93999862670898,82.33000183105469
2016-02-18,109.7699966430664,65.16000366210938,51.02000045776367,26.81999969482422,27.18000030517578,45.59000015258789,46.935001373291016,90.80999755859376,59.20000076293945,69.69999694824219,45.27000045776367,46.375,43.08000183105469,81.88999938964844
2016-02-19,109.79000091552734,64.9800033569336,51.08700180053711,27.15999984741211,27.01000022888184,45.52000045776367,47.01499938964844,90.87000274658205,58.68000030517578,69.8499984741211,45.11000061035156,46.44499969482422,42.72999954223633,81.83999633789062
2016-02-22,109.81999969482422,65.8499984741211,51.11000061035156,27.3799991607666,27.63999938964844,46.16999816894531,47.54499816894531,91.98999786376952,59.27999877929688,70.66000366210938,45.52999877929688,46.650001525878906,43.66999816894531,83.01000213623047
2016-02-23,109.83999633789062,65.33000183105469,51.04999923706055,26.90999984741211,26.770000457763672,45.310001373291016,47.1150016784668,90.55999755859376,58.560001373291016,70.48999786376953,45.31999969482422,46.39500045776367,42.84999847412109,82.11000061035156
2016-02-24,109.87999725341795,64.97000122070312,51.08000183105469,27.1200008392334,26.799999237060547,45.02999877929688,47.23500061035156,91.0500030517578,58.68000030517578,70.5199966430664,45.22999954223633,46.494998931884766,42.65999984741211,82.47000122070312
2016-02-25,110.16000366210938,66.04000091552734,51.15999984741211,27.280000686645508,27.020000457763672,45.68999862670898,47.86000061035156,92.26000213623048,59.4900016784668,71.80000305175781,45.65999984741211,46.90499877929688,42.970001220703125,83.26000213623047
2016-02-26,109.95999908447266,66.08999633789062,51.18999862670898,27.100000381469727,27.200000762939453,45.91999816894531,47.7599983215332,91.98999786376952,59.11000061035156,71.58000183105469,44.83000183105469,46.290000915527344,43.25,83.1500015258789
2016-02-29,110.08999633789062,65.5,51.290000915527344,26.979999542236328,27.059999465942383,45.63999938964844,46.93999862670898,91.38999938964844,59.0099983215332,71.45999908447266,44.720001220703125,46.06499862670898,43.150001525878906,82.94000244140625
2016-03-01,109.54000091552734,66.83999633789062,51.2400016784668,27.71999931335449,27.71999931335449,47.04999923706055,47.95000076293945,93.94000244140624,60.209999084472656,73.31999969482422,45.0,46.875,44.27999877929688,85.06999969482422
2016-03-02,109.41999816894533,67.12000274658203,51.095001220703125,27.8799991607666,28.280000686645508,47.68999862670898,48.11000061035156,94.25,60.400001525878906,73.87999725341797,45.130001068115234,46.80500030517578,44.720001220703125,85.08999633789062
2016-03-03,109.5500030517578,67.56999969482422,51.21500015258789,28.0,28.75,48.34999847412109,47.81999969482422,94.5199966430664,60.61000061035156,74.25,45.52999877929688,47.08000183105469,45.40999984741211,85.73999786376953
2016-03-04,109.37999725341795,68.29000091552734,51.125,28.1299991607666,29.1200008392334,48.72999954223633,47.77999877929688,94.83000183105467,60.58000183105469,74.44999694824219,45.88999938964844,47.369998931884766,46.31999969482422,85.9800033569336
2016-03-07,109.3499984741211,68.31999969482422,51.11000061035156,27.96999931335449,29.63999938964844,48.61000061035156,48.084999084472656,94.30999755859376,60.630001068115234,74.58999633789062,45.869998931884766,47.09000015258789,46.959999084472656,85.62999725341797
2016-03-08,109.62000274658205,67.41999816894531,51.3489990234375,27.86000061035156,28.59000015258789,48.0099983215332,47.6349983215332,93.45999908447266,60.540000915527344,73.81999969482422,45.959999084472656,47.1349983215332,45.68999862670898,84.76000213623047
2016-03-09,109.56999969482422,67.4800033569336,51.150001525878906,27.96999931335449,28.93000030517578,48.18999862670898,47.66999816894531,94.18000030517578,60.84000015258789,74.12000274658203,46.2400016784668,47.43999862670898,45.88999938964844,85.01000213623047
2016-03-10,109.62000274658205,67.41000366210938,51.02000045776367,27.989999771118164,28.8700008392334,48.220001220703125,47.755001068115234,94.0999984741211,60.65999984741211,73.93000030517578,46.33000183105469,47.45500183105469,45.810001373291016,84.97000122070312
2016-03-11,109.41999816894533,68.66000366210938,51.25,28.63999938964844,29.5,49.79999923706055,48.65499877929688,95.9000015258789,61.7400016784668,75.68000030517578,46.7400016784668,47.875,46.84999847412109,86.58000183105469
2016-03-14,109.4800033569336,68.83999633789062,51.2760009765625,28.670000076293945,29.299999237060547,49.68000030517578,48.57500076293945,96.20999908447266,61.720001220703125,75.58000183105469,46.72999954223633,47.72999954223633,46.790000915527344,87.1500015258789
2016-03-15,109.37999725341795,68.43000030517578,51.290000915527344,28.51000022888184,29.100000381469727,49.150001525878906,47.68999862670898,96.33999633789062,61.52999877929688,75.55999755859375,46.61000061035156,47.67499923706055,46.08000183105469,86.62000274658203
2016-03-16,109.8499984741211,68.83999633789062,51.290000915527344,28.979999542236328,29.690000534057617,49.38999938964844,47.65999984741211,97.51000213623048,62.2400016784668,76.5199966430664,46.93000030517578,48.01499938964844,46.9900016784668,87.51000213623047
2016-03-17,110.08000183105467,70.0999984741211,51.33000183105469,29.31999969482422,30.280000686645508,49.959999084472656,47.2599983215332,98.01000213623048,62.45000076293945,77.58999633789062,47.540000915527344,48.3650016784668,47.970001220703125,87.83000183105469
2016-03-18,110.16999816894533,70.55999755859375,51.45000076293945,29.190000534057617,30.190000534057617,50.22999954223633,47.470001220703125,98.18000030517578,61.95000076293945,77.29000091552734,47.459999084472656,48.22499847412109,47.93999862670898,87.68000030517578
2016-03-21,109.93000030517578,70.41999816894531,51.56999969482422,29.200000762939453,30.01000022888184,50.130001068115234,47.775001525878906,98.44000244140624,61.93000030517578,76.79000091552734,47.27999877929688,48.25,47.79999923706055,87.63999938964844
2016-03-22,109.86000061035156,70.4800033569336,51.630001068115234,29.209999084472656,29.899999618530277,49.86000061035156,48.14500045776367,98.72000122070312,61.90999984741211,76.80999755859375,47.18000030517578,47.915000915527344,47.720001220703125,87.62999725341797
2016-03-23,110.0999984741211,69.75,51.45000076293945,28.600000381469727,29.21999931335449,49.2400016784668,47.875,97.9499969482422,61.47999954223633,75.37000274658203,47.09999847412109,47.9900016784668,46.84000015258789,87.12000274658203
2016-03-24,110.11000061035156,69.2300033569336,51.630001068115234,28.520000457763672,29.32999992370605,48.59999847412109,47.77999877929688,98.0199966430664,61.560001373291016,75.43000030517578,47.18999862670898,47.84999847412109,46.7400016784668,86.56999969482422
2016-03-28,110.19000244140624,69.8499984741211,51.58300018310547,28.670000076293945,29.31999969482422,48.88999938964844,47.685001373291016,97.9800033569336,61.68000030517578,76.01000213623047,47.45000076293945,48.125,46.97999954223633,87.3499984741211
2016-03-29,110.5199966430664,70.2699966430664,51.75,29.1200008392334,29.440000534057617,49.130001068115234,48.2599983215332,99.4800033569336,62.4900016784668,77.5199966430664,47.93000030517578,48.60499954223633,47.43999862670898,88.48999786376953
2016-03-30,110.4800033569336,70.93000030517578,51.77099990844727,29.3799991607666,29.65999984741211,49.40999984741211,48.23500061035156,100.08000183105467,62.7599983215332,77.4000015258789,48.09999847412109,49.005001068115234,47.9900016784668,89.01000213623047
2016-03-31,110.83000183105467,70.43000030517578,51.72700119018555,29.21999931335449,29.51000022888184,49.209999084472656,48.150001525878906,99.8499984741211,62.27000045776367,77.86000061035156,48.060001373291016,48.685001373291016,47.52999877929688,88.62999725341797
