Date,IXC,IXG,IXJ,IXN,IXP,IYR
2001-11-26,15.609999656677246,52.369998931884766,25.38500022888184,55.59999847412109,52.130001068115234,39.41999816894531
2001-11-27,15.68333339691162,52.43000030517578,25.299999237060547,55.880001068115234,52.130001068115234,39.275001525878906
2001-11-28,15.513333320617676,52.43000030517578,25.290000915527344,55.880001068115234,52.040000915527344,39.42499923706055
2001-11-29,15.513333320617676,52.43000030517578,25.290000915527344,55.880001068115234,51.540000915527344,39.47499847412109
2001-11-30,15.733333587646484,52.43000030517578,25.290000915527344,55.880001068115234,51.880001068115234,39.650001525878906
2001-12-03,15.863333702087402,52.43000030517578,25.2549991607666,55.880001068115234,51.880001068115234,39.584999084472656
2001-12-04,15.863333702087402,52.43000030517578,25.2549991607666,55.880001068115234,52.08000183105469,39.95000076293945
2001-12-05,15.863333702087402,52.59999847412109,25.2549991607666,55.880001068115234,53.04999923706055,40.130001068115234
2001-12-06,16.200000762939453,53.0,25.209999084472656,60.119998931884766,53.04999923706055,40.21500015258789
2001-12-07,15.899999618530272,53.0,25.06999969482422,59.02999877929688,53.04999923706055,40.41999816894531
2001-12-10,15.899999618530272,53.0,24.799999237060547,57.84000015258789,53.04999923706055,40.04499816894531
2001-12-11,15.899999618530272,53.0,24.850000381469727,59.29999923706055,51.869998931884766,40.22499847412109
2001-12-12,15.630000114440918,53.0,24.049999237060547,58.0,51.869998931884766,39.92499923706055
2001-12-13,15.630000114440918,53.0,24.114999771118164,57.380001068115234,50.68000030517578,39.55500030517578
2001-12-14,15.630000114440918,53.0,24.25,57.380001068115234,50.77000045776367,39.150001525878906
2001-12-17,15.66333293914795,53.0,24.25,57.38999938964844,51.83000183105469,39.69499969482422
2001-12-18,15.693333625793455,51.4900016784668,24.415000915527344,57.38999938964844,51.7400016784668,39.625
2001-12-19,15.779999732971191,51.97999954223633,24.600000381469727,57.0,51.7400016784668,39.61000061035156
2001-12-20,15.779999732971191,51.72999954223633,24.625,54.68000030517578,51.5,39.28499984741211
2001-12-21,16.0766658782959,51.72999954223633,24.75,54.880001068115234,50.97999954223633,39.47499847412109
2001-12-24,15.859999656677246,51.43999862670898,24.80500030517578,54.880001068115234,51.0,39.75
